date,open,high,low,close,volume
2018-07-05,3468.0,3536.0,3402.5,3419.5,15339
2018-07-06,3424.0,3434.0,3327.0,3334.0,31062
2018-07-09,3343.5,3447.5,3331.0,3438.5,20119
2018-07-10,3456.0,3521.5,3414.5,3507.0,19263
2018-07-11,3503.0,3528.5,3429.5,3451.5,11277
2018-07-12,3452.5,3484.0,3414.0,3432.5,13850
2018-07-13,3443.0,3511.0,3419.0,3483.5,21140
2018-07-16,3499.0,3545.5,3431.5,3464.0,18402
2018-07-17,3471.0,3489.5,3400.5,3430.0,16867
2018-07-18,3442.0,3540.0,3412.5,3487.0,30952
2018-07-19,3489.0,3495.0,3377.0,3414.5,25642
2018-07-20,3424.0,3483.0,3306.5,3431.5,34025
2018-07-23,3410.5,3476.0,3410.5,3436.0,15671
2018-07-24,3445.5,3465.0,3391.5,3412.5,31510
2018-07-25,3414.5,3495.0,3405.5,3429.5,31782
2018-07-26,3433.5,3495.0,3392.5,3430.5,48649
2018-07-27,3443.0,3493.5,3402.5,3461.5,15190
2018-07-30,3490.0,3490.0,3408.0,3459.5,18371
2018-07-31,3434.5,3490.0,3415.0,3427.5,33122
2018-08-01,3452.5,3452.5,3379.5,3407.0,29128
2018-08-02,3438.0,3460.0,3363.0,3419.5,35172
2018-08-03,3410.0,3541.5,3398.5,3515.0,55588
2018-08-06,3421.5,3484.0,3412.5,3456.5,31840
2018-08-07,3471.5,3483.0,3443.0,3462.0,21189
2018-08-08,3466.0,3478.0,3420.5,3462.5,29613
2018-08-09,3476.0,3483.0,3440.0,3474.0,18291
2018-08-10,3485.0,3485.0,3411.0,3443.5,19005
2018-08-13,3444.0,3512.5,3444.0,3484.5,33026
2018-08-14,3541.5,3635.0,3535.0,3558.5,82541
2018-08-16,3586.5,3586.5,3526.5,3562.5,32544
2018-08-17,3570.0,3589.5,3525.0,3576.0,44577
2018-08-20,3598.5,3598.5,3570.0,3593.5,39863
2018-08-21,3598.0,3598.5,3562.5,3582.0,36652
2018-08-23,3594.5,3663.0,3583.5,3622.5,64832
2018-08-24,3630.0,3631.5,3604.5,3626.0,33454
2018-08-27,3631.0,3636.0,3590.0,3625.0,104934
2018-08-28,3629.5,3721.0,3598.5,3674.0,62732
2018-08-29,3655.0,3707.0,3637.5,3691.0,81799
2018-08-30,3697.0,3716.0,3688.0,3704.0,133283
2018-08-31,3674.0,3716.0,3673.5,3692.5,214121
2018-09-03,3730.0,3730.0,3617.0,3649.0,97357
2018-09-04,3628.5,3653.0,3452.5,3496.0,62045
2018-09-05,3497.0,3601.5,3484.0,3584.0,64147
2018-09-06,3570.0,3621.0,3569.5,3610.5,78539
2018-09-07,3598.5,3712.5,3598.5,3697.5,42279
2018-09-10,3683.0,3721.0,3653.0,3687.5,36559
